,location,location_counter,actor,line,neg,neu,pos,compound
36,EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - ,11,DAY,,0.0,0.0,0.0,0.0
37,EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - ,12,LUKE,There they are!,0.0,1.0,0.0,0.0
38,EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - ,12,BIGGS,"That's no battle, hot shot... they're just sitting there! Probably a freighter-tanker refueling.",0.337,0.663,0.0,-0.6239
39,EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - ,12,LUKE,But there was a lot of firing earlier...,0.286,0.714,0.0,-0.34
40,EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - ,12,LUKE,"Hey, easy with those...",0.0,0.508,0.492,0.4404
41,EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - ,12,CAMIE,"Don't worry about it, Wormie.",0.0,0.624,0.376,0.3412
42,EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - ,12,FIXER,"I keep telling you, the Rebellion is a long way from here. I doubt if the Empire would even fight to keep this system. Believe me Luke, this planet is a big hunk of nothing...",0.191,0.809,0.0,-0.6808
43,INT. REBEL BLOCKADE RUNNER - HALLWAY,13,LEIA,"Lord Vader, I should have known. Only you could be so bold. The Imperial Senate will not sit for this, when they hear you've attacked a diplomatic...",0.102,0.783,0.115,0.0941
44,INT. REBEL BLOCKADE RUNNER - HALLWAY,13,VADER,"Don't play games with me, Your Highness. You weren't on any mercy mission this time. You passed directly through a restricted system. Several transmissions were beamed to this ship by Rebel spies. I want to know what happened to the plans they sent you.",0.179,0.793,0.028,-0.7224
45,INT. REBEL BLOCKADE RUNNER - HALLWAY,13,LEIA,I don't know what you're talking about. I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...,0.0,1.0,0.0,0.0
46,INT. REBEL BLOCKADE RUNNER - HALLWAY,13,VADER,You're a part of the Rebel Alliance... and a traitor. Take her away!,0.159,0.841,0.0,-0.2244
47,INT. REBEL BLOCKADE RUNNER - HALLWAY,13,COMMANDER,"Holding her is dangerous. If word of this gets out, it could generate sympathy for the Rebellion in the senate.",0.191,0.705,0.104,-0.2732
48,INT. REBEL BLOCKADE RUNNER - HALLWAY,13,VADER,I have traced the Rebel spies to her. Now she is my only link to find their secret base!,0.1,0.9,0.0,-0.2244
49,INT. REBEL BLOCKADE RUNNER - HALLWAY,13,COMMANDER,She'll die before she tells you anything.,0.394,0.606,0.0,-0.5994
50,INT. REBEL BLOCKADE RUNNER - HALLWAY,13,VADER,Leave that to me. Send a distress signal and then inform the senate that all aboard were killed!,0.4,0.553,0.047,-0.8516
51,INT. REBEL BLOCKADE RUNNER - HALLWAY,13,SECOND OFFICER,"Lord Vader, the battle station plans are not aboard this ship! And no transmissions were made. An escape pod was jettisoned during the fighting, but no life forms were aboard.",0.299,0.662,0.039,-0.7219
52,INT. REBEL BLOCKADE RUNNER - HALLWAY,13,VADER,"She must have hidden the plans in the escape pod. Send a detachment down to retrieve them. See to it personally, Commander. There'll be no one to stop us this time.",0.133,0.816,0.051,-0.4019
53,INT. REBEL BLOCKADE RUNNER - HALLWAY,13,COMMANDER,"Yes, sir.",0.0,0.27,0.73,0.4019
54,EXT. TATOOINE - DESERT,15,THREEPIO,How did I get into this mess? I really don't know how. We seem to be made to suffer. It's our lot in life.,0.242,0.758,0.0,-0.7488
55,EXT. TATOOINE - DESERT,15,THREEPIO,I've got to rest before I fall apart. My joints are almost frozen.,0.0,1.0,0.0,0.0
56,EXT. TATOOINE - DESERT,15,THREEPIO,What a desolate place this is.,0.0,1.0,0.0,0.0
57,EXT. TATOOINE - DESERT,15,THREEPIO,Where are you going?,0.0,1.0,0.0,0.0
58,EXT. TATOOINE - DESERT,15,THREEPIO,"Well, I'm not going that way. It's much too rocky. This way is much easier.",0.0,0.726,0.274,0.5994
59,EXT. TATOOINE - DESERT,15,THREEPIO,What makes you think there are settlements over there?,0.0,1.0,0.0,0.0
60,EXT. TATOOINE - DESERT,15,THREEPIO,Don't get technical with me.,0.0,1.0,0.0,0.0
61,EXT. TATOOINE - DESERT,15,THREEPIO,"What mission? What are you talking about? I've had just about enough of you! Go that way! You'll be malfunctioning within a day, you nearsighted scrap pile!",0.0,1.0,0.0,0.0
62,EXT. TATOOINE - DESERT,15,THREEPIO,"And don't let me catch you following me begging for help, because you won't get it.",0.0,0.847,0.153,0.4019
63,EXT. TATOOINE - DESERT,15,THREEPIO,No more adventures. I'm not going that way.,0.202,0.551,0.247,0.1263
64,EXT. TATOOINE - DUNE SEA,16,THREEPIO,"That malfunctioning little twerp. This is all his fault! He tricked me into going this way, but he'll do no better.",0.23,0.627,0.142,-0.1007
65,EXT. TATOOINE - DUNE SEA,16,THREEPIO,"Wait, what's that? A transport! I'm saved!",0.0,0.596,0.404,0.5242
66,EXT. TATOOINE - DUNE SEA,16,THREEPIO,"Over here! Help! Please, help!",0.0,0.189,0.811,0.8213
67,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,LUKE,"(Very animated)...so I cut off my power, shut down the afterburners and came in low on Deak's trail. I was so close I thought I was going to fry my instruments. As it was I busted up the Skyhopper pretty bad. Uncle Owen was pretty upset. He grounded me for the rest of the season. You should have been there... it was fantastic.",0.144,0.715,0.14,0.1779
68,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,BIGGS,"You ought to take it easy Luke. You may be the hottest bushpilot this side of Mos Eisley, but those little Skyhoppers are dangerous. Keep it up, and one day, whammo, you're going to be nothing more than a dark spot on the down side of a canyon wall.",0.074,0.887,0.038,-0.4223
69,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,LUKE,Look who's talking. Now that you've been around those giant starships you're beginning to sound like my uncle. You've gotten soft in the city...,0.0,0.902,0.098,0.3612
70,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,BIGGS,I've missed you kid.,0.423,0.577,0.0,-0.296
71,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,LUKE,"Well, things haven't been the same since you left, Biggs. It's been so... quiet.",0.0,0.861,0.139,0.2732
72,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,BIGGS,"Luke, I didn't come back just to say good-bye... I shouldn't tell you this, but you're the only one I can trust... and if I don't come back, I want somebody to know.",0.047,0.953,0.0,-0.0857
73,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,LUKE,What are you talking about?,0.0,1.0,0.0,0.0
74,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,BIGGS,"I made some friends at the Academy.(he whispers)...when our frigate goes to one of the central systems, we're going to jump ship and join the Alliance...",0.0,0.813,0.187,0.6486
75,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,LUKE,Join the Rebellion?! Are you kidding! How?,0.0,0.524,0.476,0.549
76,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,BIGGS,Quiet down will ya! You got a mouth bigger than a meteor crater!,0.0,1.0,0.0,0.0
77,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,LUKE,I'm sorry. I'm quiet.(he whispers)Listen how quiet I am. You can barely hear me...,0.098,0.902,0.0,-0.0772
78,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,BIGGS,My friend has a friend on Bestine who might help us make contact.,0.0,0.497,0.503,0.8442
79,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,LUKE,You're crazy! You could wander around forever trying to find them.,0.212,0.788,0.0,-0.4003
80,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,BIGGS,"I know it's a long shot, but if I don't find them I'll do what I can on my own... It's what we always talked about. Luke, I'm not going to wait for the Empire to draft me into service. The Rebellion is spreading and I want to be on the right side -- the side I believe in.",0.032,0.941,0.027,-0.0772
81,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,LUKE,And I'm stuck here...,0.4,0.6,0.0,-0.25
82,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,BIGGS,I thought you were going to the Academy next term. You'll get your chance to get off this rock.,0.0,0.895,0.105,0.25
83,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,LUKE,Not likely! I had to cancel my application. There has been a lot of unrest among the Sandpeople since you left... they've even raided the outskirts of Anchorhead.,0.084,0.916,0.0,-0.3164
84,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,BIGGS,Your uncle could hold off a whole colony of Sandpeople with one blaster.,0.0,1.0,0.0,0.0
85,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,LUKE,"I know, but he's got enough vaporators going to make the place pay off. He needs me for just one more season. I can't leave him now.",0.061,0.877,0.062,0.0045
86,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,BIGGS,"I feel for you, Luke, you're going to have to learn what seems to be important or what really is important. What good is all your uncle's work if it's taken over by the Empire?... You know they're starting to nationalize commerce in the central systems... it won't be long before your uncle is merely a tenant, slaving for the greater glory of the Empire.",0.0,0.823,0.177,0.8885
87,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,LUKE,It couldn't happen here. You said it yourself. The Empire won't bother with this rock.,0.0,0.873,0.127,0.2584
88,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,BIGGS,Things always change.,0.0,1.0,0.0,0.0
89,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,LUKE,I wish I was going... Are you going to be around long?,0.0,0.769,0.231,0.4019
90,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,BIGGS,"No, I'm leaving in the morning...",0.306,0.694,0.0,-0.296
91,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,LUKE,Then I guess I won't see you.,0.0,1.0,0.0,0.0
92,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,BIGGS,Maybe someday... I'll keep a lookout.,0.0,1.0,0.0,0.0
93,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,LUKE,"Well, I'll be at the Academy next season... after that who knows. I won't be drafted into the Imperial Starfleet that's for sure... Take care of yourself, you'll always be the best friend I've got.",0.0,0.703,0.297,0.9136
94,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,17,BIGGS,"So long, Luke.",0.0,1.0,0.0,0.0
95,INT. SANDCRAWLER - PRISON AREA,21,THREEPIO,Artoo-Detoo! It's you! It's you!,0.0,1.0,0.0,0.0
96,EXT. TATOOINE - DESERT - DAY,23,FIRST TROOPER,Someone was in the pod. The tracks go off in this direction.,0.0,1.0,0.0,0.0
97,EXT. TATOOINE - DESERT - DAY,23,SECOND TROOPER,"Look, sir -- droids.",0.0,1.0,0.0,0.0
98,INT. SANDCRAWLER,25,THREEPIO,Wake up! Wake up!,0.0,1.0,0.0,0.0
99,INT. SANDCRAWLER,25,THREEPIO,We're doomed.,0.808,0.192,0.0,-0.6369
100,INT. SANDCRAWLER,25,THREEPIO,Do you think they'll melt us down?,0.0,1.0,0.0,0.0
101,INT. SANDCRAWLER,25,THREEPIO,Don't shoot! Don't shoot! Will this never end?,0.0,0.563,0.437,0.5656
102,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,BERU,"Luke, tell Owen that if he gets a translator to be sure it speaks Bocce.",0.0,0.85,0.15,0.3182
103,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,LUKE,It looks like we don't have much of a choice but I'll remind him.,0.0,0.873,0.127,0.1901
104,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,OWEN,I have no need for a protocol droid.,0.306,0.694,0.0,-0.296
105,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,THREEPIO,(quickly)Sir -- not in an environment such as this -- that's why I've also been programmed for over thirty secondary functions that...,0.0,1.0,0.0,0.0
106,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,OWEN,What I really need is a droid that understands the binary language of moisture vaporators.,0.0,1.0,0.0,0.0
107,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,THREEPIO,Vaporators! Sir -- My first job was programming binary load lifter... very similar to your vaporators. You could say...,0.0,1.0,0.0,0.0
108,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,OWEN,Do you speak Bocce?,0.0,1.0,0.0,0.0
109,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,THREEPIO,"Of course I can, sir. It's like a second language for me... I'm as fluent in Bocce...",0.0,0.848,0.152,0.3612
110,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,OWEN,All right shut up!(turning to Jawa)I'll take this one.,0.0,1.0,0.0,0.0
111,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,THREEPIO,"Shutting up, sir.",0.0,1.0,0.0,0.0
112,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,OWEN,"Luke, take these two over to the garage, will you? I want you to have both of them cleaned up before dinner.",0.0,0.939,0.061,0.0772
113,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,LUKE,But I was going into Toshi Station to pick up some power converters...,0.0,1.0,0.0,0.0
114,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,OWEN,"You can waste time with your friends when your chores are done. Now come on, get to it!",0.126,0.721,0.153,0.1511
115,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,LUKE,"All right, come on! And the red one, come on. Well, come on, Red, let's go.",0.0,0.862,0.138,0.3382
116,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,LUKE,Uncle Owen...,0.0,1.0,0.0,0.0
117,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,OWEN,Yeah?,0.0,0.0,1.0,0.296
118,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,LUKE,This R2 unit has a bad motivator. Look!,0.387,0.613,0.0,-0.5848
119,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,OWEN,"(to the head Jawa)Hey, what're you trying to push on us?",0.0,1.0,0.0,0.0
120,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,THREEPIO,"(pointing to Artoo)Excuse me, sir, but that R2 unit is in prime condition. A real bargain.",0.0,0.864,0.136,0.296
121,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,LUKE,Uncle Owen...,0.0,1.0,0.0,0.0
122,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,OWEN,Yeah?,0.0,0.0,1.0,0.296
123,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,LUKE,What about that one?,0.0,1.0,0.0,0.0
124,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,OWEN,(to Jawa)What about that blue one? We'll take that one.,0.0,1.0,0.0,0.0
125,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,LUKE,"Yeah, take it away.",0.0,0.577,0.423,0.296
126,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,THREEPIO,"Uh, I'm quite sure you'll be very pleased with that one, sir. He really is in first-class condition. I've worked with him before. Here he comes.",0.0,0.806,0.194,0.699
127,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,LUKE,"Okay, let's go.",0.0,0.513,0.487,0.2263
128,EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,26,THREEPIO,"(to Artoo)Now, don't you forget this! Why I should stick my neck out for you is quite beyond my capacity!",0.0,0.889,0.111,0.3071
129,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,"Thank the maker! This oil bath is going to feel so good. I've got such a bad case of dust contamination, I can barely move!",0.115,0.66,0.225,0.5147
130,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,"It just isn't fair. Oh, Biggs is right. I'm never gonna get out of here!",0.139,0.861,0.0,-0.308
131,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,Is there anything I might do to help?,0.0,0.69,0.31,0.4019
132,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,"Well, not unless you can alter time, speed up the harvest, or teleport me off this rock!",0.0,0.87,0.13,0.3382
133,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,"I don't think so, sir. I'm only a droid and not very knowledgeable about such things. Not on this planet, anyways. As a matter of fact, I'm not even sure which planet I'm on.",0.061,0.904,0.034,-0.2173
134,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,"Well, if there's a bright center to the universe, you're on the planet that it's farthest from.",0.0,0.737,0.263,0.6124
135,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,"I see, sir.",0.0,1.0,0.0,0.0
136,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,"Uh, you can call me Luke.",0.0,1.0,0.0,0.0
137,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,"I see, sir Luke.",0.0,1.0,0.0,0.0
138,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,(laughing)Just Luke.,0.0,1.0,0.0,0.0
139,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,"And I am See-Threepio, human-cyborg relations, and this is my counterpart, Artoo-Detoo.",0.0,1.0,0.0,0.0
140,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,Hello.,0.0,1.0,0.0,0.0
141,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,You got a lot of carbon scoring here. It looks like you boys have seen a lot of action.,0.0,0.865,0.135,0.3612
142,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,"With all we've been through, sometimes I'm amazed we're in as good condition as we are, what with the Rebellion and all.",0.056,0.714,0.229,0.6808
143,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,You know of the Rebellion against the Empire?,0.176,0.824,0.0,-0.128
144,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,"That's how we came to be in your service, if you take my meaning, sir.",0.0,1.0,0.0,0.0
145,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,Have you been in many battles?,0.342,0.658,0.0,-0.3818
146,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,"Several, I think. Actually, there's not much to tell. I'm not much more than an interpreter, and not very good at telling stories. Well, not at making them interesting, anyways.",0.078,0.778,0.144,0.2908
147,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,"Well, my little friend, you've got something jammed in here real good. Were you on a cruiser or...",0.0,0.639,0.361,0.785
148,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LEIA,"Help me, Obi-Wan Kenobi. You're my only hope.",0.0,0.517,0.483,0.6808
149,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,What's this?,0.0,1.0,0.0,0.0
150,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,What is what?!? He asked you a question...(pointing to Leia)What is that?,0.0,1.0,0.0,0.0
151,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LEIA,"Help me, Obi-Wan Kenobi. You're my only hope. Help me, Obi-Wan Kenobi. You're my only hope.",0.0,0.517,0.483,0.8807
152,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,"Oh, he says it's nothing, sir. Merely a malfunction. Old data. Pay it no mind.",0.231,0.769,0.0,-0.3818
153,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,Who is she? She's beautiful.,0.0,0.506,0.494,0.5994
154,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,"I'm afraid I'm not quite sure, sir.",0.266,0.734,0.0,-0.2912
155,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LEIA,"Help me, Obi-Wan Kenobi...",0.0,0.526,0.474,0.4019
156,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,"I think she was a passenger on our last voyage. A person of some importance, sir -- I believe. Our captain was attached to...",0.0,0.884,0.116,0.3612
157,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,Is there more to this recording?,0.0,1.0,0.0,0.0
158,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,"Behave yourself, Artoo. You're going to get us in trouble. It's all right, you can trust him. He's our new master.",0.108,0.76,0.132,0.1531
159,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,"He says he's the property of Obi-Wan Kenobi, a resident of these parts. And it's a private message for him. Quite frankly, sir I don't know what he's talking about. Our last master was Captain Antilles, but with what we've been through, this little R2 unit has become a bit eccentric.",0.0,1.0,0.0,0.0
160,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,Obi-Wan Kenobi? I wonder if he means old Ben Kenobi?,0.0,1.0,0.0,0.0
161,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,"I beg your pardon, sir, but do you know what he's talking about?",0.0,0.87,0.13,0.1655
162,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,"Well, I don't know anyone named Obi-Wan, but old Ben lives out beyond the dune sea. He's kind of a strange old hermit.",0.114,0.819,0.067,-0.2708
