location,actor,lines
INT. POWER STATION - DAY,BIGGS,Of course I got it. Signed aboard The Rand Ecliptic last week. First mate Biggs Darklighter at your service...(he salutes)...I just came to say good-bye to all you unfortunate landlocked simpletons.
INT. POWER STATION - DAY,LUKE,I almost forgot. There's a battle going on! Right here in our system. Come and look!
INT. POWER STATION - DAY,DEAK,Not again! Forget it.
EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - ,DAY,
EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - ,LUKE,There they are!
EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - ,BIGGS,"That's no battle, hot shot... they're just sitting there! Probably a freighter-tanker refueling."
EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - ,LUKE,But there was a lot of firing earlier...
EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - ,LUKE,"Hey, easy with those..."
EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - ,CAMIE,"Don't worry about it, Wormie."
EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - ,FIXER,"I keep telling you, the Rebellion is a long way from here. I doubt if the Empire would even fight to keep this system. Believe me Luke, this planet is a big hunk of nothing..."
INT. REBEL BLOCKADE RUNNER - HALLWAY,LEIA,"Lord Vader, I should have known. Only you could be so bold. The Imperial Senate will not sit for this, when they hear you've attacked a diplomatic..."
INT. REBEL BLOCKADE RUNNER - HALLWAY,VADER,"Don't play games with me, Your Highness. You weren't on any mercy mission this time. You passed directly through a restricted system. Several transmissions were beamed to this ship by Rebel spies. I want to know what happened to the plans they sent you."
INT. REBEL BLOCKADE RUNNER - HALLWAY,LEIA,I don't know what you're talking about. I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...
INT. REBEL BLOCKADE RUNNER - HALLWAY,VADER,You're a part of the Rebel Alliance... and a traitor. Take her away!
INT. REBEL BLOCKADE RUNNER - HALLWAY,COMMANDER,"Holding her is dangerous. If word of this gets out, it could generate sympathy for the Rebellion in the senate."
INT. REBEL BLOCKADE RUNNER - HALLWAY,VADER,I have traced the Rebel spies to her. Now she is my only link to find their secret base!
INT. REBEL BLOCKADE RUNNER - HALLWAY,COMMANDER,She'll die before she tells you anything.
INT. REBEL BLOCKADE RUNNER - HALLWAY,VADER,Leave that to me. Send a distress signal and then inform the senate that all aboard were killed!
INT. REBEL BLOCKADE RUNNER - HALLWAY,SECOND OFFICER,"Lord Vader, the battle station plans are not aboard this ship! And no transmissions were made. An escape pod was jettisoned during the fighting, but no life forms were aboard."
INT. REBEL BLOCKADE RUNNER - HALLWAY,VADER,"She must have hidden the plans in the escape pod. Send a detachment down to retrieve them. See to it personally, Commander. There'll be no one to stop us this time."
INT. REBEL BLOCKADE RUNNER - HALLWAY,COMMANDER,"Yes, sir."
EXT. TATOOINE - DESERT,THREEPIO,How did I get into this mess? I really don't know how. We seem to be made to suffer. It's our lot in life.
EXT. TATOOINE - DESERT,THREEPIO,I've got to rest before I fall apart. My joints are almost frozen.
EXT. TATOOINE - DESERT,THREEPIO,What a desolate place this is.
EXT. TATOOINE - DESERT,THREEPIO,Where are you going?
EXT. TATOOINE - DESERT,THREEPIO,"Well, I'm not going that way. It's much too rocky. This way is much easier."
EXT. TATOOINE - DESERT,THREEPIO,What makes you think there are settlements over there?
EXT. TATOOINE - DESERT,THREEPIO,Don't get technical with me.
EXT. TATOOINE - DESERT,THREEPIO,"What mission? What are you talking about? I've had just about enough of you! Go that way! You'll be malfunctioning within a day, you nearsighted scrap pile!"
EXT. TATOOINE - DESERT,THREEPIO,"And don't let me catch you following me begging for help, because you won't get it."
EXT. TATOOINE - DESERT,THREEPIO,No more adventures. I'm not going that way.
EXT. TATOOINE - DUNE SEA,THREEPIO,"That malfunctioning little twerp. This is all his fault! He tricked me into going this way, but he'll do no better."
EXT. TATOOINE - DUNE SEA,THREEPIO,"Wait, what's that? A transport! I'm saved!"
EXT. TATOOINE - DUNE SEA,THREEPIO,"Over here! Help! Please, help!"
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,LUKE,"(Very animated)...so I cut off my power, shut down the afterburners and came in low on Deak's trail. I was so close I thought I was going to fry my instruments. As it was I busted up the Skyhopper pretty bad. Uncle Owen was pretty upset. He grounded me for the rest of the season. You should have been there... it was fantastic."
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,BIGGS,"You ought to take it easy Luke. You may be the hottest bushpilot this side of Mos Eisley, but those little Skyhoppers are dangerous. Keep it up, and one day, whammo, you're going to be nothing more than a dark spot on the down side of a canyon wall."
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,LUKE,Look who's talking. Now that you've been around those giant starships you're beginning to sound like my uncle. You've gotten soft in the city...
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,BIGGS,I've missed you kid.
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,LUKE,"Well, things haven't been the same since you left, Biggs. It's been so... quiet."
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,BIGGS,"Luke, I didn't come back just to say good-bye... I shouldn't tell you this, but you're the only one I can trust... and if I don't come back, I want somebody to know."
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,LUKE,What are you talking about?
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,BIGGS,"I made some friends at the Academy.(he whispers)...when our frigate goes to one of the central systems, we're going to jump ship and join the Alliance..."
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,LUKE,Join the Rebellion?! Are you kidding! How?
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,BIGGS,Quiet down will ya! You got a mouth bigger than a meteor crater!
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,LUKE,I'm sorry. I'm quiet.(he whispers)Listen how quiet I am. You can barely hear me...
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,BIGGS,My friend has a friend on Bestine who might help us make contact.
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,LUKE,You're crazy! You could wander around forever trying to find them.
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,BIGGS,"I know it's a long shot, but if I don't find them I'll do what I can on my own... It's what we always talked about. Luke, I'm not going to wait for the Empire to draft me into service. The Rebellion is spreading and I want to be on the right side -- the side I believe in."
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,LUKE,And I'm stuck here...
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,BIGGS,I thought you were going to the Academy next term. You'll get your chance to get off this rock.
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,LUKE,Not likely! I had to cancel my application. There has been a lot of unrest among the Sandpeople since you left... they've even raided the outskirts of Anchorhead.
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,BIGGS,Your uncle could hold off a whole colony of Sandpeople with one blaster.
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,LUKE,"I know, but he's got enough vaporators going to make the place pay off. He needs me for just one more season. I can't leave him now."
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,BIGGS,"I feel for you, Luke, you're going to have to learn what seems to be important or what really is important. What good is all your uncle's work if it's taken over by the Empire?... You know they're starting to nationalize commerce in the central systems... it won't be long before your uncle is merely a tenant, slaving for the greater glory of the Empire."
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,LUKE,It couldn't happen here. You said it yourself. The Empire won't bother with this rock.
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,BIGGS,Things always change.
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,LUKE,I wish I was going... Are you going to be around long?
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,BIGGS,"No, I'm leaving in the morning..."
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,LUKE,Then I guess I won't see you.
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,BIGGS,Maybe someday... I'll keep a lookout.
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,LUKE,"Well, I'll be at the Academy next season... after that who knows. I won't be drafted into the Imperial Starfleet that's for sure... Take care of yourself, you'll always be the best friend I've got."
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,BIGGS,"So long, Luke."
INT. SANDCRAWLER - PRISON AREA,THREEPIO,Artoo-Detoo! It's you! It's you!
EXT. TATOOINE - DESERT - DAY,FIRST TROOPER,Someone was in the pod. The tracks go off in this direction.
EXT. TATOOINE - DESERT - DAY,SECOND TROOPER,"Look, sir -- droids."
INT. SANDCRAWLER,THREEPIO,Wake up! Wake up!
INT. SANDCRAWLER,THREEPIO,We're doomed.
INT. SANDCRAWLER,THREEPIO,Do you think they'll melt us down?
INT. SANDCRAWLER,THREEPIO,Don't shoot! Don't shoot! Will this never end?
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,BERU,"Luke, tell Owen that if he gets a translator to be sure it speaks Bocce."
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,LUKE,It looks like we don't have much of a choice but I'll remind him.
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,OWEN,I have no need for a protocol droid.
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,THREEPIO,(quickly)Sir -- not in an environment such as this -- that's why I've also been programmed for over thirty secondary functions that...
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,OWEN,What I really need is a droid that understands the binary language of moisture vaporators.
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,THREEPIO,Vaporators! Sir -- My first job was programming binary load lifter... very similar to your vaporators. You could say...
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,OWEN,Do you speak Bocce?
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,THREEPIO,"Of course I can, sir. It's like a second language for me... I'm as fluent in Bocce..."
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,OWEN,All right shut up!(turning to Jawa)I'll take this one.
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,THREEPIO,"Shutting up, sir."
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,OWEN,"Luke, take these two over to the garage, will you? I want you to have both of them cleaned up before dinner."
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,LUKE,But I was going into Toshi Station to pick up some power converters...
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,OWEN,"You can waste time with your friends when your chores are done. Now come on, get to it!"
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,LUKE,"All right, come on! And the red one, come on. Well, come on, Red, let's go."
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,LUKE,Uncle Owen...
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,OWEN,Yeah?
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,LUKE,This R2 unit has a bad motivator. Look!
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,OWEN,"(to the head Jawa)Hey, what're you trying to push on us?"
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,THREEPIO,"(pointing to Artoo)Excuse me, sir, but that R2 unit is in prime condition. A real bargain."
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,LUKE,Uncle Owen...
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,OWEN,Yeah?
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,LUKE,What about that one?
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,OWEN,(to Jawa)What about that blue one? We'll take that one.
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,LUKE,"Yeah, take it away."
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,THREEPIO,"Uh, I'm quite sure you'll be very pleased with that one, sir. He really is in first-class condition. I've worked with him before. Here he comes."
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,LUKE,"Okay, let's go."
EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON,THREEPIO,"(to Artoo)Now, don't you forget this! Why I should stick my neck out for you is quite beyond my capacity!"
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,"Thank the maker! This oil bath is going to feel so good. I've got such a bad case of dust contamination, I can barely move!"
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,"It just isn't fair. Oh, Biggs is right. I'm never gonna get out of here!"
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,Is there anything I might do to help?
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,"Well, not unless you can alter time, speed up the harvest, or teleport me off this rock!"
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,"I don't think so, sir. I'm only a droid and not very knowledgeable about such things. Not on this planet, anyways. As a matter of fact, I'm not even sure which planet I'm on."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,"Well, if there's a bright center to the universe, you're on the planet that it's farthest from."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,"I see, sir."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,"Uh, you can call me Luke."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,"I see, sir Luke."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,(laughing)Just Luke.
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,"And I am See-Threepio, human-cyborg relations, and this is my counterpart, Artoo-Detoo."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,Hello.
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,You got a lot of carbon scoring here. It looks like you boys have seen a lot of action.
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,"With all we've been through, sometimes I'm amazed we're in as good condition as we are, what with the Rebellion and all."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,You know of the Rebellion against the Empire?
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,"That's how we came to be in your service, if you take my meaning, sir."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,Have you been in many battles?
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,"Several, I think. Actually, there's not much to tell. I'm not much more than an interpreter, and not very good at telling stories. Well, not at making them interesting, anyways."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,"Well, my little friend, you've got something jammed in here real good. Were you on a cruiser or..."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LEIA,"Help me, Obi-Wan Kenobi. You're my only hope."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,What's this?
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,What is what?!? He asked you a question...(pointing to Leia)What is that?
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LEIA,"Help me, Obi-Wan Kenobi. You're my only hope. Help me, Obi-Wan Kenobi. You're my only hope."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,"Oh, he says it's nothing, sir. Merely a malfunction. Old data. Pay it no mind."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,Who is she? She's beautiful.
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,"I'm afraid I'm not quite sure, sir."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LEIA,"Help me, Obi-Wan Kenobi..."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,"I think she was a passenger on our last voyage. A person of some importance, sir -- I believe. Our captain was attached to..."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,Is there more to this recording?
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,"Behave yourself, Artoo. You're going to get us in trouble. It's all right, you can trust him. He's our new master."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,"He says he's the property of Obi-Wan Kenobi, a resident of these parts. And it's a private message for him. Quite frankly, sir I don't know what he's talking about. Our last master was Captain Antilles, but with what we've been through, this little R2 unit has become a bit eccentric."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,Obi-Wan Kenobi? I wonder if he means old Ben Kenobi?
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,"I beg your pardon, sir, but do you know what he's talking about?"
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,"Well, I don't know anyone named Obi-Wan, but old Ben lives out beyond the dune sea. He's kind of a strange old hermit."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,I wonder who she is. It sounds like she's in trouble. I'd better play back the whole thing.
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,"He says the restraining bolt has short circuited his recording system. He suggests that if you remove the bolt, he might be able to play back the entire recording."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,"H'm? Oh, yeah, well, I guess you're too small to run away on me if I take this off! Okay."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,There you go.
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,"Well, wait a minute. Where'd she go? Bring her back! Play back the entire message."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,What message? The one you're carrying inside your rusty innards!
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,AUNT BERU,Luke? Luke! Come to dinner!
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,"All right, I'll be right there, Aunt Beru."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,"I'm sorry, sir, but he appears to have picked up a slight flutter."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,LUKE,"Well, see what you can do with him. I'll be right back."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,(to Artoo)Just you reconsider playing that message for him.
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,"No, I don't think he likes you at all."
INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,THREEPIO,"No, I don't like you either."
INT. LARS HOMESTEAD - DINING AREA,LUKE,"You know, I think that R2 unit we bought might have been stolen."
INT. LARS HOMESTEAD - DINING AREA,OWEN,What makes you think that?
INT. LARS HOMESTEAD - DINING AREA,LUKE,"Well, I stumbled across a recording while I was cleaning him. He says he belongs to someone called Obi-Wan Kenobi."
INT. LARS HOMESTEAD - DINING AREA,LUKE,"I thought he might have meant old Ben. Do you know what he's talking about? Well, I wonder if he's related to Ben."
INT. LARS HOMESTEAD - DINING AREA,OWEN,That old man's just a crazy old wizard. Tomorrow I want you to take that R2 unit into Anchorhead and have its memory flushed. That'll be the end of it. It belongs to us now.
INT. LARS HOMESTEAD - DINING AREA,LUKE,But what if this Obi-Wan comes looking for him?
INT. LARS HOMESTEAD - DINING AREA,OWEN,"He won't, I don't think he exists any more. He died about the same time as your father."
INT. LARS HOMESTEAD - DINING AREA,LUKE,He knew my father?
INT. LARS HOMESTEAD - DINING AREA,OWEN,I told you to forget it. Your only concern is to prepare the new droids for tomorrow. In the morning I want them on the south ridge working out those condensers.
INT. LARS HOMESTEAD - DINING AREA,LUKE,"Yes, sir. I think those new droids are going to work out fine. In fact, I, uh, was also thinking about our agreement about my staying on another season. And if these new droids do work out, I want to transmit my application to the Academy this year."
INT. LARS HOMESTEAD - DINING AREA,OWEN,You mean the next semester before harvest?
INT. LARS HOMESTEAD - DINING AREA,LUKE,"Sure, there're more than enough droids."
INT. LARS HOMESTEAD - DINING AREA,OWEN,Harvest is when I need you the most. Only one more season. This year we'll make enough on the harvest so I'll be able to hire some more hands. And then you can go to the Academy next year.
INT. LARS HOMESTEAD - DINING AREA,OWEN,"You must understand I need you here, Luke."
INT. LARS HOMESTEAD - DINING AREA,LUKE,But it's a whole 'nother year.
INT. LARS HOMESTEAD - DINING AREA,OWEN,"Look, it's only one more season."
INT. LARS HOMESTEAD - DINING AREA,LUKE,"Yeah, that's what you said last year when Biggs and Tank left."
INT. LARS HOMESTEAD - DINING AREA,AUNT BERU,Where are you going?
INT. LARS HOMESTEAD - DINING AREA,LUKE,It looks like I'm going nowhere. I have to finish cleaning those droids.
INT. LARS HOMESTEAD - DINING AREA,AUNT BERU,"Owen, he can't stay here forever. Most of his friends have gone. It means so much to him."
INT. LARS HOMESTEAD - DINING AREA,OWEN,I'll make it up to him next year. I promise.
INT. LARS HOMESTEAD - DINING AREA,AUNT BERU,"Luke's just not a farmer, Owen. He has too much of his father in him."
INT. LARS HOMESTEAD - DINING AREA,OWEN,That's what I'm afraid of.
INT. LARS HOMESTEAD - GARAGE,LUKE,What are you doing hiding there?
INT. LARS HOMESTEAD - GARAGE,THREEPIO,"It wasn't my fault, sir. Please don't deactivate me. I told him not to go, but he's faulty, malfunctioning; kept babbling on about his mission."
INT. LARS HOMESTEAD - GARAGE,LUKE,"Oh, no!"
EXT. TATOOINE - LARS HOMESTEAD,THREEPIO,That R2 unit has always been a problem. These astro-droids are getting quite out of hand. Even I can't understand their logic at times.
EXT. TATOOINE - LARS HOMESTEAD,LUKE,How could I be so stupid? He's nowhere in sight. Blast it!
EXT. TATOOINE - LARS HOMESTEAD,THREEPIO,"Pardon me, sir, but couldn't we go after him?"
EXT. TATOOINE - LARS HOMESTEAD,LUKE,It's too dangerous with all the Sandpeople around. We'll have to wait until morning.
EXT. TATOOINE - LARS HOMESTEAD,OWEN,"Luke, I'm shutting the power down for the night."
EXT. TATOOINE - LARS HOMESTEAD,LUKE,"All right, I'll be there in a few minutes. Boy, am I gonna get it."
EXT. TATOOINE - LARS HOMESTEAD,LUKE,You know that little droid is going to cause me a lot of trouble.
EXT. TATOOINE - LARS HOMESTEAD,THREEPIO,"Oh, he excels at that, sir."
INT. LARS HOMESTEAD - PLAZA,OWEN,Luke? Luke? Luke? Where could he be loafing now!
INT. LARS HOMESTEAD - KITCHEN,OWEN,Have you seen Luke this morning?
INT. LARS HOMESTEAD - KITCHEN,AUNT BERU,"He said he had some things to do before he started today, so he left early."
INT. LARS HOMESTEAD - KITCHEN,OWEN,Uh? Did he take those two new droids with him?
INT. LARS HOMESTEAD - KITCHEN,AUNT BERU,I think so.
INT. LARS HOMESTEAD - KITCHEN,OWEN,"Well, he'd better have those units in the south range repaired be midday or there'll be hell to pay!"
INT./EXT. LUKE'S SPEEDER - DESERT WASTELAND - TRAVELING - ,DAY,
INT./EXT. LUKE'S SPEEDER - DESERT WASTELAND - TRAVELING - ,LUKE,(yelling)How's that.
INT./EXT. LUKE'S SPEEDER - DESERT WASTELAND - TRAVELING - ,LUKE,"Old Ben Kenobi lives out in this direction somewhere, but I don't see how that R2 unit could have come this far. We must have missed him. Uncle Owen isn't going to take this very well."
INT./EXT. LUKE'S SPEEDER - DESERT WASTELAND - TRAVELING - ,THREEPIO,"Sir, would it help if you told him it was my fault."
INT./EXT. LUKE'S SPEEDER - DESERT WASTELAND - TRAVELING - ,LUKE,(brightening)Sure. He needs you. He'd probably only deactivate you for a day or so...
INT./EXT. LUKE'S SPEEDER - DESERT WASTELAND - TRAVELING - ,THREEPIO,"Deactivate! Well, on the other hand if you hadn't removed his restraining bolt..."
